episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
204,-930.0,200,3.2184555538192665,0.9030065170304803,1,49,320.0,10.0,8,8,0.305,0.96
205,-826.5,200,2.5943690407338376,0.9025550137719651,0,39,275.5,0.0,2,2,0.22,0.99
206,-1029.0,200,2.5353313085742624,0.9021037362650792,0,54,343.0,0.0,9,9,0.315,0.955
207,-1036.5,199,3.340681010000107,0.9016526843969468,1,57,355.5,10.0,11,11,0.3518,0.9447
208,-948.0,200,2.5862159001984755,0.9012018580547484,0,48,316.0,0.0,6,6,0.27,0.97
209,-1096.5,200,2.495157688208034,0.900751257125721,0,59,365.5,0.0,8,8,0.335,0.96
210,-988.5,200,3.1295947969209617,0.9003008814971583,0,51,329.5,0.0,8,8,0.295,0.96
211,-975.0,200,2.417876159082707,0.8998507310564098,0,50,325.0,0.0,12,12,0.31,0.94
212,-867.0,200,2.4334948747325296,0.8994008056908817,0,42,289.0,0.0,7,7,0.245,0.965
213,-961.5,200,2.302479237585633,0.8989511052880362,0,49,320.5,0.0,4,4,0.265,0.98
214,-934.5,200,2.3704707861084926,0.8985016297353923,0,47,311.5,0.0,9,9,0.31,0.955
215,-934.5,200,2.773804140064297,0.8980523789205246,0,47,311.5,0.0,3,3,0.275,0.985
216,-976.5,186,2.936680254140252,0.8976033527310644,1,54,335.5,10.0,10,10,0.3656,0.9462
217,-1015.5,200,2.8381494825668145,0.8971545510546989,0,53,338.5,0.0,5,5,0.315,0.975
218,-907.5,200,2.227489870932598,0.8967059737791716,0,45,302.5,0.0,9,9,0.27,0.955
219,-988.5,200,2.1982396107188795,0.8962576207922821,0,51,329.5,0.0,5,5,0.28,0.975
220,-975.0,200,2.2283494304086586,0.895809491981886,0,50,325.0,0.0,10,10,0.305,0.95
221,-1002.0,200,2.543623656351238,0.8953615872358951,0,52,334.0,0.0,9,9,0.305,0.955
222,-1056.0,200,2.5281886086054444,0.8949139064422772,0,56,352.0,0.0,10,10,0.33,0.95
223,-214.5,56,2.88921024731442,0.8944664494890561,1,12,81.5,10.0,4,4,0.3214,0.9286
224,-504.0,105,3.7890547303408555,0.8940192162643116,1,28,178.0,10.0,4,4,0.3238,0.9619
225,-840.0,200,2.258546462159771,0.8935722066561794,0,40,280.0,0.0,6,6,0.29,0.97
226,-961.5,200,2.563899144025482,0.8931254205528514,0,49,320.5,0.0,9,9,0.29,0.955
227,-921.0,200,2.635308951243661,0.8926788578425751,0,46,307.0,0.0,10,10,0.29,0.95
228,-1042.5,200,2.272470853319378,0.8922325184136538,0,55,347.5,0.0,9,9,0.32,0.955
229,-1042.5,200,2.813925753314797,0.891786402154447,0,55,347.5,0.0,9,9,0.34,0.955
230,-672.0,163,2.3237703660303706,0.8913405089533699,1,34,234.0,10.0,6,6,0.2577,0.9632
231,-649.5,157,3.065228283698925,0.8908948386988933,1,33,226.5,10.0,3,3,0.293,0.9809
232,-907.5,200,2.406643460815523,0.8904493912795439,0,45,302.5,0.0,9,9,0.305,0.955
233,-1015.5,200,2.693575967156158,0.8900041665839042,0,53,338.5,0.0,10,10,0.335,0.95
234,-1015.5,200,3.162173483366155,0.8895591645006123,0,53,338.5,0.0,8,8,0.33,0.96
235,-975.0,200,2.603026993211346,0.889114384918362,0,50,325.0,0.0,7,7,0.32,0.965
