state_id,energy,oxygen,food,fuel,hull,event,energy_lvl,oxygen_lvl,food_lvl,fuel_lvl,hull_lvl,mhi,crisp_risk,status,greedy_action,greedy_qvalue,appropriate_action
155,critical/low,stable/mid,stable/mid,critical/low,optimal/high,Safe Zone,0,1,1,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
156,critical/low,stable/mid,stable/mid,stable/mid,critical/low,Normal,0,1,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
157,critical/low,stable/mid,stable/mid,stable/mid,critical/low,Solar Storm,0,1,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
158,critical/low,stable/mid,stable/mid,stable/mid,critical/low,Asteroid Impact,0,1,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
159,critical/low,stable/mid,stable/mid,stable/mid,critical/low,Safe Zone,0,1,1,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
160,critical/low,stable/mid,stable/mid,stable/mid,stable/mid,Normal,0,1,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
161,critical/low,stable/mid,stable/mid,stable/mid,stable/mid,Solar Storm,0,1,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
162,critical/low,stable/mid,stable/mid,stable/mid,stable/mid,Asteroid Impact,0,1,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
163,critical/low,stable/mid,stable/mid,stable/mid,stable/mid,Safe Zone,0,1,1,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
164,critical/low,stable/mid,stable/mid,stable/mid,optimal/high,Normal,0,1,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
165,critical/low,stable/mid,stable/mid,stable/mid,optimal/high,Solar Storm,0,1,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
166,critical/low,stable/mid,stable/mid,stable/mid,optimal/high,Asteroid Impact,0,1,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
167,critical/low,stable/mid,stable/mid,stable/mid,optimal/high,Safe Zone,0,1,1,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
168,critical/low,stable/mid,stable/mid,optimal/high,critical/low,Normal,0,1,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
169,critical/low,stable/mid,stable/mid,optimal/high,critical/low,Solar Storm,0,1,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
170,critical/low,stable/mid,stable/mid,optimal/high,critical/low,Asteroid Impact,0,1,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
171,critical/low,stable/mid,stable/mid,optimal/high,critical/low,Safe Zone,0,1,1,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
172,critical/low,stable/mid,stable/mid,optimal/high,stable/mid,Normal,0,1,1,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
173,critical/low,stable/mid,stable/mid,optimal/high,stable/mid,Solar Storm,0,1,1,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
174,critical/low,stable/mid,stable/mid,optimal/high,stable/mid,Asteroid Impact,0,1,1,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
175,critical/low,stable/mid,stable/mid,optimal/high,stable/mid,Safe Zone,0,1,1,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
176,critical/low,stable/mid,stable/mid,optimal/high,optimal/high,Normal,0,1,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
177,critical/low,stable/mid,stable/mid,optimal/high,optimal/high,Solar Storm,0,1,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
178,critical/low,stable/mid,stable/mid,optimal/high,optimal/high,Asteroid Impact,0,1,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
179,critical/low,stable/mid,stable/mid,optimal/high,optimal/high,Safe Zone,0,1,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
180,critical/low,stable/mid,optimal/high,critical/low,critical/low,Normal,0,1,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
181,critical/low,stable/mid,optimal/high,critical/low,critical/low,Solar Storm,0,1,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
182,critical/low,stable/mid,optimal/high,critical/low,critical/low,Asteroid Impact,0,1,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
183,critical/low,stable/mid,optimal/high,critical/low,critical/low,Safe Zone,0,1,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
